TIME_PERIOD,OBS_VALUE
2005-M02,100.8
2005-M03,101.7
2005-M04,100.6
2005-M05,100.6
2005-M06,100.6
2005-M07,100.4
2005-M08,100.0
2005-M09,100.4
2005-M10,100.8
2005-M11,101.2
2005-M12,101.0
2006-M01,101.2
2006-M02,101.7
2006-M03,99.8
2006-M04,99.6
2006-M05,100.4
2006-M06,100.2
2006-M07,100.8
2006-M08,100.0
2006-M09,102.1
2006-M10,102.6
2006-M11,101.8
2006-M12,100.9
2007-M01,100.5
2007-M02,100.7
2007-M03,100.2
2007-M04,100.0
2007-M05,100.5
2007-M06,102.2
2007-M07,101.3
2007-M08,100.7
2007-M09,102.1
2007-M10,102.9
2007-M11,102.3
2007-M12,102.0
2008-M01,103.0
2008-M02,102.6
2008-M03,103.8
2008-M04,103.1
2008-M05,101.2
2008-M06,100.9
2008-M07,99.5
2008-M08,99.9
2008-M09,101.0
2008-M10,101.8
2008-M11,101.4
2008-M12,102.1
2009-M01,102.9
2009-M02,101.4
2009-M03,101.4
2009-M04,100.9
2009-M05,100.5
2009-M06,101.1
2009-M07,99.9
2009-M08,99.8
2009-M09,100.9
2009-M10,100.9
2009-M11,101.0
2009-M12,101.0
2010-M01,101.7
2010-M02,101.9
2010-M03,100.8
2010-M04,99.8
2010-M05,99.4
2010-M06,99.6
2010-M07,99.8
2010-M08,101.2
2010-M09,102.9
2010-M10,100.5
2010-M11,100.3
2010-M12,100.8
2011-M01,101.0
2011-M02,100.9
2011-M03,101.4
2011-M04,101.4
2011-M05,100.8
2011-M06,100.4
2011-M07,98.8
2011-M08,99.5
2011-M09,100.1
2011-M10,100.0
2011-M11,100.2
2011-M12,100.2
2012-M01,100.2
2012-M02,100.2
2012-M03,100.3
2012-M04,100.0
2012-M05,99.7
2012-M06,99.7
2012-M07,99.8
2012-M08,99.6
2012-M09,100.1
2012-M10,100.0
2012-M11,99.9
2012-M12,100.2
2013-M01,100.3
2013-M02,99.9
2013-M03,100.0
2013-M04,100.0
2013-M05,100.1
2013-M06,100.0
2013-M07,99.9
2013-M08,99.2
2013-M09,100.0
2013-M10,100.4
2013-M11,100.2
2013-M12,100.6
2014-M01,100.2
2014-M02,100.6
2014-M03,102.2
2014-M04,103.3
2014-M05,103.8
2014-M06,101.0
2014-M07,100.4
2014-M08,100.8
2014-M09,102.9
2014-M10,102.5
2014-M11,101.8
2014-M12,103.0
2015-M01,103.1
2015-M02,105.3
2015-M03,110.8
2015-M04,114.0
2015-M05,102.2
2015-M06,100.4
2015-M07,99.0
2015-M08,99.2
2015-M09,102.3
2015-M10,98.7
2015-M11,102.0
2015-M12,100.7
2016-M01,100.9
2016-M02,99.6
2016-M03,101.0
2016-M04,103.5
2016-M05,100.1
2016-M06,99.8
2016-M07,99.9
2016-M08,99.7
2016-M09,101.8
2016-M10,102.8
2016-M11,101.8
2016-M12,100.9
2017-M01,101.1
2017-M02,101.0
2017-M03,101.8
2017-M04,100.9
2017-M05,101.3
2017-M06,101.6
2017-M07,100.2
2017-M08,99.9
2017-M09,102.0
2017-M10,101.2
2017-M11,100.9
2017-M12,101.0
2018-M01,101.5
2018-M02,100.9
2018-M03,101.1
2018-M04,100.8
2018-M05,100.0
2018-M06,100.0
2018-M07,99.3
2018-M08,100.0
2018-M09,101.9
2018-M10,101.7
2018-M11,101.4
2018-M12,100.8
2019-M01,101.0
2019-M02,100.5
2019-M03,100.9
2019-M04,101.0
2019-M05,100.7
2019-M06,99.5
2019-M07,99.4
2019-M08,99.7
2019-M09,100.7
2019-M10,100.7
2019-M11,100.1
2019-M12,99.8
2020-M01,100.2
2020-M02,99.7
2020-M03,100.8
2020-M04,100.8
2020-M05,100.3
2020-M06,100.2
2020-M07,99.4
2020-M08,99.8
2020-M09,100.5
2020-M10,101.0
2020-M11,101.3
2020-M12,100.9
2021-M01,101.3
2021-M02,101.0
2021-M03,101.7
2021-M04,100.7
2021-M05,101.3
2021-M06,100.2
2021-M07,100.1
2021-M08,99.8
2021-M09,101.2
2021-M10,100.9
2021-M11,100.8
2021-M12,100.6
2022-M01,101.3
2022-M02,101.6
2022-M03,104.5
2022-M04,103.1
2022-M05,102.7
2022-M06,103.1
2022-M07,100.7
2022-M08,101.1
2022-M09,101.9
2022-M10,102.5
2022-M11,100.7
2022-M12,100.7
2023-M01,100.8
2023-M02,100.7
2023-M03,101.5
2023-M04,100.2
2023-M05,100.5
2023-M06,100.8
2023-M07,99.4
2023-M08,98.6
2023-M09,100.5
2023-M10,100.8
2023-M11,100.5
2023-M12,100.7
2024-M01,100.4
2024-M02,100.3
2024-M03,100.5
2024-M04,100.2
2024-M05,100.6
2024-M06,102.2
2024-M07,100.0
2024-M08,100.6
2024-M09,101.5
2024-M10,101.8
2024-M11,101.9
2024-M12,101.4
2025-M01,101.2
2025-M02,100.8
2025-M03,101.5
2025-M04,100.7
2025-M05,101.3
2025-M06,100.8
2025-M07,99.8
2025-M08,99.8
2025-M09,100.3
2025-M10,100.9
2025-M11,100.4
2025-M12,100.2
